QUEST_20150317_000001	Veuillez sélectionner l'utilisateur nécessitant une mise à jour de quête.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20171128_006619	Il n'y a pas de minerai de fer par ici.	쓸만한 철광석이 보이지 않는다				PC	
QUEST_20171128_006620	Cela devrait suffire comme minerai de fer.	철광석을 모두 모은 것 같다				PC	
QUEST_20171128_006621	Vous n'avez pas de Chair de monstre démoniaque.	마기가 서린 몬스터의 살점이 없다.				PC	
QUEST_20171128_006622	Neringa	네링가					
QUEST_20171128_006623	Vous pouvez poser cinq questions à Neringa. Vous ne pouvez demander que ce que vous{nl}pouvez. Neringa doit vous répondre car telle est la volonté de la Déesse Laima.	당신은 저 네링가에게 다섯가지 질문을 하실 수 있습니다.{nl}당신이 물어볼 이야기는 정해져 있습니다.{nl}저 네링가는 라이마 여신이 뜻하신 대로 당신께 대답해야 합니다.				네링가	
QUEST_20171128_006624	Neringa doit encore répondre à vos cinq questions. Vous pouvez redemander maintenant.	저 네링가는 당신의 다섯 가지 질문에 다시 대답해야 합니다.{nl}다시 질문 하십시오.				네링가	
QUEST_20171128_006625	La Déesse Vaivora et la Déesse démone Giltine sont devenues ennemies après un incident dans{nl}le passé. C'était un incident tragique qui a mis en lumière les intentions maléfiques de Giltine. La{nl}Déesse Vaivora a donc juré de bannir Giltine dans une dimension extérieure.	바이보라 여신은 과거의 사건으로부터 마신 길티네와 적대적 관계가 되었습니다.{nl}바이보라 여신은 과거의 사건으로부터 마신 길티네의 목적을 유추하셨습니다.{nl}이에 여신께선 마신 길티네를 이계의 차원에 영원히 봉인하실 생각입니다.				네링가	
QUEST_20171128_006626	Vaivora accuse Giltine de tout le mal. Elle croit que tout sera résolu si Giltine est isolée de notre{nl}monde. Hélas, la Déesse Laima prévoit quelque chose de très différent.	바이보라 여신은 모든 원흉을 마신 길티네로 지목하셨습니다.{nl}그리하여 길티네를 이 세계와 분리시키면 모든 문제가 해결 될거라 생각하십니다.{nl}하지만 그 것은 라이마 여신의 예지와 다릅니다.				네링가	
QUEST_20171128_006627	Le plan de la Déesse Vaivora est d'utiliser une Révélation pour éloigner Giltine de notre monde.{nl}Ensemble, nous devons empêcher le plan de Vaivora de réussir. Vous devez permettre à la{nl}Déesse démone Giltine d'acquérir la Révélation.	바이보라 여신은 계시를 미끼로 길티네를 이 세계에서 제거하려 하십니다.{nl}당신은 저 네링가와 함께 바이보라 여신의 계획을 빗나가게 만들어야 합니다.{nl} 그리하여 마신 길티네가 무사히 계시를 취득할 수 있도록 해야합니다.				네링가	
QUEST_20171128_006628	Neringa est venue ici sur ordre de sa maîtresse, la Déesse Laima. Laima est certaine que vous{nl}pouvez accomplir Sa mission. Par conséquent, il est du devoir de Neringa de vous aider à{nl}réaliser la prophétie de la Déesse.	저 네링가는 제 주인이신 라이마 여신의 명령에 따라 이 곳에 왔습니다.{nl}라이마 여신은 당신만이 이 일을 저 네링가와 함께 할 수 있다고 말하셨습니다.{nl}그렇기에 저 네링가는 당신을 신뢰하며 당신이 여신의 예지를 실현할 수 있도록 도울 것 입니다.				네링가	
QUEST_20171128_006629	Le Beholder de la Déesse démone l'a avertie que la Révélation est cachée à l'intérieur de la{nl}Bibliothèque fantastique. Mais Giltine sait que, si elle tentait d'entrer dans la Bibliothèque, elle{nl}tomberait dans le piège de Vaivora. Elle connaissait le grand plan de Vaivora depuis l'incident{nl}que vous ignorez. Elle en est peut-être même certaine maintenant.	마신 길티네는 주시자로부터 환상도서관에 계시가 숨겨져있음을 보고 받았습니다.{nl}길티네는 자신이 직접 환상도서관에 침략하면 바이보라 여신이 함정을 만들 것을 알고 있습니다.{nl}마신 길티네는 당신이 모르는 과거의 사건으로부터 바이보라 여신의 계획을 유추할 수 있습니다.{nl}아니, 어쩌면 알고 계실 수도 있겠군요.				네링가	
QUEST_20171128_006630	Giltine se moquera de la Déesse Vaivora et enverra sa servante dans le piège. Cependant,{nl}Vaivora se sera préparée à la ruse de Giltine, et Giltine tombera dans le piège. Quand elle le fera,{nl}vous devrez aider Giltine à se libérer du piège de Vaivora.	길티네는 바이보라 여신을 비웃으며 그 함정에 자신의 부하를 내보낼 것 입니다.{nl}하지만 바이보라 여신은 만반의 준비를 하고 있고 길티네는 결국 함정에 빠질 것 입니다.{nl}당신은 길티네가 무사히 함정을 빠져나갈 수 있도록 저 네링가와 함께 행동해야 합니다.				네링가	
QUEST_20171128_006631	J'ai été bête de croire que Vaivora abandonnait...	바이보라가 포기했다고 생각했다만..				마신 길티네	
QUEST_20171128_006632	La petite servante de Laima, n'est-ce pas ? Vous pensiez pouvoir me défier comme votre{nl}maîtresse. Où est-elle maintenant pour prier pour vos misérables vies ?	너는 라이마의 아이구나.{nl}너도 네 주인처럼 내게 대항할 생각이구나.{nl}라이마가 너희의 목숨은 점지해주지 않았나보군?				마신 길티네	
QUEST_20171128_006633	Allez-y, arrêtez-moi. J'aimerais bien vous voir essayer.	마음껏 방해해 보아라.{nl}결국 아무것도 못 하겠지만.				마신 길티네	
QUEST_20171128_006634	Alors vous êtes du côté de Vaivora maintenant... Je dois dire que vous essayez. Dites-moi, qui{nl}vous a amené ici ?	이번엔 바이보라 곁에 서셨군..{nl}애쓰는 모습이 여전하구나.{nl}누가 널 이 곳으로 인도했느냐.				주시자	
QUEST_20171128_006635	Je vous avertis. Vous vous mettez en travers de mon chemin avec vos tours de déesse et je le{nl}jure... je vous envoie auprès de la déesse pour de bon.	여신에 대한 알량한 충성심으로 내 일을 방해하면..{nl}이번에야 말로 여신 곁으로 보내주마				주시자	
QUEST_20171128_006636	Cela n'arrivera pas. Rassurez-vous...	그렇게는 안 될 겁니다.{nl}주시자여..				네링가	
QUEST_20171128_006637	Je suis ici pour accompagner un invité.	이 분은 저와 함께 해야할 일이 있습니다.				네링가	
QUEST_20171128_006638	Neringa !	네링가!				주시자	
QUEST_20171128_006639	Que faites-vous ici ? N'étiez-vous pas...	어째서 네가 여기에 있는거지?{nl}넌 분명 그때..				주시자	
QUEST_20171128_006640	Oh, je vois. Vous êtes ici pour vous vanter que tout cela était un piège brillant de votre cru.	그래 이게 모두 네가 꾸민 함정이라고 자랑하려고 나타나셨나?				주시자	
QUEST_20171128_006641	Neringa est différente de vous.	저 네링가는 당신과 다릅니다.				네링가	
QUEST_20171128_006642	Votre devoir ici est accompli, Beholder. Vous partirez bientôt.	주시자 당신은 이 곳에서 해야할 역할이 더 이상 없습니다.{nl}당신은 곧 떠나게 될 겁니다.				네링가	
QUEST_20171128_006643	Coincé comme toujours... Je ne sais pas ce que vous et votre déesse avez vu, mais vous ne pouvez{nl}plus arrêter Giltine.	여전히 거만하구나, 네링가..{nl}너와 네 여신이 무엇을 보았건 이제 길티네님을 막을 수 없다.				주시자	
QUEST_20171128_006644	Pour une déesse voyante, elle est vraiment mauvaise pour prédire à quel point vous êtes inutile.{nl}Hahahahah.	여신이 너희의 무능함은 예지해주지 않았나보군.{nl}하하하				주시자	
QUEST_20171128_006645	Ce qui doit arriver arrivera. Beholder, vous avez déjà joué votre rôle. Vous pouvez partir.	일어나야할 일은 일어날 겁니다.{nl}주시자 당신은 해야할 일을 다 했습니다.{nl}이제 돌아가십시오.				네링가	
QUEST_20171128_006646	Vous et votre déesse allez être vraiment déçus... Vous verrez bien.	너와 네 여신의 뜻대로 되지 않을 것이다..{nl}두고보아라.				주시자	
QUEST_20171128_006647	Et vous, humain. N'envisagez même pas de mettre votre nez dans nos affaires. Ce n'est pas votre{nl}monde, compris ?	그리고 인간{nl}더 깊게 간섭하려하지 마라.{nl}네녀석들이 움직일 수 있는 세상이 아니다.				주시자	
QUEST_20171128_006648	Il en va de même pour vous, Beholder.	주시자여, 그건 당신도 마찬가지입니다.				네링가	
QUEST_20171128_006649	Enfin... Aujourd'hui, je dissipe les ombres jetées sur nous. Ce sera la dernière fois que notre{nl}monde verra Giltine.	그대의 도움으로 온 세상에 드리운 그림자를..{nl}오늘 드디어 걷어낼 수 있게 되었습니다.{nl}이 세계에서 마신 길티네의 마지막 모습을 잘 보아 두십시오.				여신 바이보라	
QUEST_20171128_006650	Elle arrive. Commencez.	그녀가 온다.{nl}시작하라.				여신 바이보라	
QUEST_20171128_006651	Que... que s'est-il passé ? Giltine a-t-elle échappé à mon piège ?!	이게.. 어떻게 된 일이지?{nl}길티네가 함정을 간파한 것인가!				여신 바이보라	
QUEST_20171128_006652	Où est-elle maintenant ?	그녀는 지금 어디에 있지?				여신 바이보라	
QUEST_20171128_006653	Ce n'est pas possible......	이럴 수가..{nl}..				여신 바이보라	
QUEST_20171128_006654	Giltine n'a pas pu s'échapper. Je dois la retrouver !	아직 빠져나가지 못 했을 것이다.{nl}길티네를 찾아야한다!				여신 바이보라	
QUEST_20171128_006655	Je dois vous demander votre aide une fois de plus. Je dois trouver Giltine. Je ne peux pas la{nl}laisser voler ces archives.	그대에게 다시 부탁드립니다.{nl}저는 길티네를 추적해야 합니다.{nl}그대가 저 조무래기에게 기록을 되찾아 주십시오.				여신 바이보라	
QUEST_20171128_006656	S'il vous plaît !	부탁드립니다!				여신 바이보라	
QUEST_20171128_006657	Les Kupoles et moi avons préparé le sceau le plus sûr pour piéger Giltine. Cependant, elle a percé{nl}mes plans et envoyé une servante à sa place. Mais je ne peux pas la laisser s'échapper.	저와 큐폴들은 가장 강력한 봉인을 준비했습니다.{nl}하지만 길티네는 그걸 간파하고 자신의 부하를 보냈지요.{nl}급하게 준비했지만 이 곳에서 길티네를 가둘 수 있습니다.				여신 바이보라	
QUEST_20171128_006658	Giltine est après la Révélation que Laima a cachée dans la Salle de Valandis 91. Quand elle{nl}entrera dans la pièce, nous activerons le sceau. Le sceau emprisonnera à jamais Giltine et la{nl}Révélation dans la pièce.	길티네는 라이마가 발란디스 91관에 숨긴 계시의 석판을 강탈하려 합니다.{nl}그녀가 계시에 한눈판 사이에 우린 이 곳에서 붕괴장치를 사용할 것 입니다.{nl}계시와 함께 길티네를 영원히 붕괴된 발란디스 91관에 가둬버리는 것이지요.				여신 바이보라	
QUEST_20171128_006659	Comprenez-vous ? Avec Giltine disparue de notre monde, vous n'aurez plus besoin de collecter{nl}les Révélations. Les humains seront libérés de la menace des démons, et moi et les autres déesses{nl}retournerons à nos places dues.	인간이여, 생각해 보십시오.{nl}길티네가 이 세계에서 사라지면 당신은 더 이상 계시를 모을 필요가 없습니다.{nl}인간들은 마족들의 위협에서 벗어나 제 고향을 찾아 갈 것이고 여신들은 제 자리를 되찾을 겁니다.				여신 바이보라	
QUEST_20171128_006660	De nombreux documents divers sont conservés dans la Salle de Valandis 91. Je n'ai pas eu{nl}l'occasion de voir ce qu'ils contiennent... Mais je ne crois pas que Giltine y trouvera d'indices{nl}pour échapper au sceau.	발란디스 91관은 분류되지 않은 기록들이 모이는 곳입니다.{nl}그 기록들에 무슨 내용이 있는지는 아직 확인해 보지 못 했습니다만..{nl}적어도 붕괴된 차원에서 탈출하는 방법은 없을 것 입니다.				여신 바이보라	
QUEST_20171128_006661	J'aimerais que vous m'aidiez à activer le sceau. Revenez me voir quand vous serez prêt.	그대가 붕괴장치 활성화를 도와주셨으면 합니다.{nl}준비가 되면 제게 다시 오십시오.				여신 바이보라	
QUEST_20171128_006662	Je dois dire que votre courage est inspirant...	용기가 아주 대단하구나..				마신 길티네	
QUEST_20171128_006663	Je suis sûr que vous êtes ici pour la Révélation.	네 몫의 계시를 찾으러 왔겠지?				마신 길티네	
QUEST_20171128_006664	Je me demande ce que votre pauvre déesse doit penser. Laima, déesse du destin.	네 녀석의 여신이 이걸 보면 무슨 생각을 할까?{nl}운명의 여신 라이마 말이다.				마신 길티네	
QUEST_20171128_006665	Tous vos espoirs mesquins... Tout est entre mes mains maintenant. Je ne peux pas attendre pour{nl}montrer moi-même la Révélation à Laima. Ainsi qu'à ses misérables sbires.	이젠 그 알량한 희망도 내 손안에 있다.{nl}어서 빨리 계시를 라이마에게 직접 보여주고 싶구나.{nl}네 녀석의 절망도 함께				마신 길티네	
QUEST_20171128_006666	Et vous, humain. Je crains que ce ne soit la fin de votre voyage. Le Révélateur qui n'a pas pu{nl}sauver la Révélation. Quel malheur !	네 위대한 여정도 여기까지구나 인간이여.{nl}계시를 손에 넣지 못 한 계시자라니 우습구나!				마신 길티네	
QUEST_20171128_006667	Devrais-je même me préoccuper de vous ?	널 내가 직접 상대할 필요가 있을까?				마신 길티네	
QUEST_20171128_006668	Livre Abandonné	방치된 책					
QUEST_20171128_006669	Livre abandonné trouvé.	방치된 책을 발견했습니다.				방치된 책	
QUEST_20171128_006670	Le livre abandonné a été ramassé.	방치된 책을 집었습니다.				방치된 책	
QUEST_20171128_006671	C'est une catastrophe. J'ai été bien trop indulgent. Je suis certain maintenant que le but de Giltine{nl}est de voler la Révélation de Laima dans la Salle de Valandis 91.	곤란하게 되었습니다.{nl}저의 안일함으로 일이 틀어졌습니다.{nl}길티네의 목적은 분명 발란디스 91관에 라이마가 남겨둔 계시일 것 입니다.				여신 바이보라	
QUEST_20171128_006672	Je dois l'arrêter. J'utiliserai la révélation pour enfermer Giltine dans la Salle de Valandis 91.	길티네를 막아야합니다.{nl}계시를 이용하여 길티네를 발란디스 91관에 봉인할 것 입니다.				여신 바이보라	
QUEST_20171128_006673	Qu'est-ce que c'est ? Une visite surprise ?	이런, 의외의 손님이 오셨으니 이를 어떻게 한다?				???	
QUEST_20171128_006674	Je ne m'attendais pas à vous croiser ici.{nl}	의외의 장소에서 마주치는군.{nl}				주시자	
QUEST_20171128_006675	Oh, cet humain, oui. C'est pour ça que vous êtes venu me voir ?	아, 그 인간이라면 물론 내게 있지. 겨우 그런 인간들의 부탁으로 나를 찾아온 것인가?				주시자	
QUEST_20171128_006676	Quoi, vous croyez que je vais simplement vous donner ce que vous voulez ? Pas quand j'ai la{nl}chance d'obtenir quelque chose de vous.	어째서 내가 순순히 돌려줄 것이라 생각하지?{nl}나로선 네게 뭔가를 받아낼 기회인데 그냥 지나갈 수 없지.				주시자	
QUEST_20171128_006677	Une énergie inconnue se ressent autour du Pierre de cristal. Serait-ce... de la magie ?	수정석 주변에서 알 수 없는 기운이 느껴진다. 마법..인가?				None	
QUEST_20171128_006678	Nous devrions pouvoir effacer la magie maintenant. Faites-le, et absorbez la magie dans l'orbe.	도구를 보니 이제 마법을 해제시킬 수 있겠군.{nl}어서 가서 마법을 해제하고 오브에 마력을 흡수해와라.				주시자	
QUEST_20171128_006679	Seigneur Démon Solcomm	마군주 솔콤					
QUEST_20171128_006680	Je vous observais depuis que la Pierre de cristal s'est brisée, mais vous voir utiliser cet humain...{nl}Vous avez déjà pris ce qui était à l'intérieur de la Pierre de cristal. Qu'est-ce que vous voulez de{nl}moi ?	수정석이 깨질 때부터 지켜보고 있었지만, 인간을 이용하여 이렇게까지 하다니..{nl}주시자여, 수정석에 담긴 것들을 빼앗으면서까지 나에게 바라는 것이 무엇이냐.				마군주 솔콤	
QUEST_20171128_006681	Nous nous rencontrons enfin. Je dirais que vos attaques ratées sur la Tour astrale étaient déjà{nl}une offense assez grave, ne pensez-vous pas ? Estimez-vous heureux que je ne vais pas parler de{nl}toutes vos erreurs pathétiques devant l'humain.	드디어 보는군. 네가 별의 탑을 공략한 성과가 형편없는 것만으로도 네 죄는 충분하다.{nl}인간 앞이라 네 잘못을 길게 말하지 않는 점을 다행으로 여겨라.{nl}				주시자	
QUEST_20171128_006682	Faites votre devoir de sujet de Giltine et livrez le contenu de la Pierre de cristal. C'est le moins{nl}que vous puissiez faire pour sauver ce qui reste de votre dignité. 	길티네님의 백성으로서 의무를 지켜 마지막으로 수정석에 담긴 모든 것을 내놓도록 하라.{nl}그것이 마군주로서 그나마 마지막 품위를 지키는 길이다. 				주시자	
QUEST_20171128_006683	J'ai besoin de la Pierre pour attaquer la Tour astrale. Je ne la donnerai à personne sans ordre{nl}direct de Baiga. Et je ne vous permettrai pas de douter de moi ne serait-ce qu'un instant. Pas{nl}après avoir sacrifié tout ce que j'ai pour cette attaque !	그것들은 별의 탑을 공략하는 데 필요하다. 바이가 님의 명령이 아니면 아무에게도 줄 수 없다.{nl}그리고 별의 탑 공략에 내 모든 것을 바쳤거늘 이 충성스런 솔콤이 음모라니, 그럴 리가 없지 않은가!				마군주 솔콤	
QUEST_20171128_006684	Cela semble un bon endroit pour prendre note des alentours.	주변을 기록하기에 좋은 위치인 것 같다.				None	
QUEST_20171128_006685	Oh, vous êtes meilleur que je ne pensais. Une bombe comme celle-là suffit à le détruire, sans{nl}aucun doute. Très bien, allez détruire la Pierre de cristal.	오, 생각보다 솜씨가 있군. 그 정도의 폭탄이라면 확실하게 파괴할 수 있다.{nl}자, 어서 그걸 이용하여 수정석을 파괴하고 돌아와라.				마군주 솔콤	
QUEST_20171128_006686	Réfléchissez bien avant de recevoir ceci, car cela ne peut être reçu qu'une fois par équipe.{nl}Êtes-vous sûr de vouloir recevoir cet objet ?	받기 전에 잘 생각해보시기 바랍니다. 이것은 한 팀당 한 개만 지급해드립니다.{nl}이 아이템을 받으시겠습니까?				기사단장 우스카	
QUEST_20171128_006687	Très bien, il est tout à vous alors. Qu'il guide votre nouveau chemin sous la bénédiction des{nl}déesses.	알겠습니다. 그렇다면 이 아이템을 드리겠습니다.{nl}당신의 새로운 길에 여신의 가호가 함께하길.				기사단장 우스카	
QUEST_20171128_006688	Très bien. Prenez votre temps, il n'y a pas besoin de précipiter cette décision.	그렇군요, 하나만 드리는 만큼 좀 더 신중하게 생각해보시고 결정하시길 바랍니다.				기사단장 우스카	
QUEST_20171128_006689	Vous semblez avoir quelque chose à me demander. Allez-y, je répondrai du mieux que je peux.{nl}	표정을 보니 제게 묻고 싶으신 점이 있나 보군요.{nl}제가 대답할 수 있는 일이라면 알려드리겠습니다.{nl}				크로노맨서 마스터	
QUEST_20171128_006690	Vous... avez vu d'étranges ombres au Mémorial ? Hm... Je n'imagine pas ce que cela pourrait être,{nl}mais il est difficile d'en être sûr rien qu'en en entendant parler.	기념구 쪽에서 이상한 그림자를 목격하셨다고요? 음..{nl}짐작 가는 점이 있지만, 그 이야기만으로 확신하긴 어렵군요.{nl}				크로노맨서 마스터	
QUEST_20171128_006691	Des ombres... Maintenant que j'y pense, il y a quelqu'un qui devrait pouvoir aider. Elle s'appelle{nl}Eclipse Ubik, c'est la Maîtresse Ombremancien.	그림자.. 저보다 이 현상을 잘 알 만한 사람이 있습니다.{nl}그 사람의 이름은 이클립스 유빅, 그림자를 연구하는 섀도우맨서 마스터입니다.{nl}				크로노맨서 마스터	
QUEST_20171128_006692	Elle a été occupée par ses recherches. Je crois qu'elle est au Lac Rasvoy. Si vous la voyez, veillez à{nl}lui dire que je vous ai envoyé et parlez-lui des ombres.	지금쯤이면 자신의 연구 때문에 래스보이 호숫가에 머무르고 있을 겁니다.{nl}혹시 만나시면 제 소개로 왔다고 말하고 그 그림자에 관해 이야기해보시길 바랍니다.				크로노맨서 마스터	
QUEST_20171128_006693	Maître Ombremancien	섀도우맨서 마스터					
QUEST_20171128_006694	Pardon ? Je suis désolé, je suis très occupé par le travail. Cela vous dérangerait-il d'expliquer{nl}pourquoi vous êtes ici ?{nl}	무슨 일이시죠? 전 지금 제 연구를 해야 하느라 바쁩니다.{nl}용건이 있다면 간단하게 말씀해주십시오.{nl}				섀도우맨서 마스터	
QUEST_20171128_006695	Le Maître Chronomancien vous a envoyé ? Hm... Alors vous devez avoir une question pour moi.{nl}Très bien. Laquelle ? Je vous écoute.	크로노맨서 마스터의 소개를 듣고 왔다고요? 음. 저에게 묻고 싶은 게 있나 보군요.{nl}그래요. 이야기를 들어보죠.				섀도우맨서 마스터	
QUEST_20171128_006696	Pardon ? Je suis désolé, je suis très occupé par le travail. Cela vous dérangerait-il d'expliquer{nl}pourquoi vous êtes ici ?{nl}	무슨 일이시죠? 전 지금 제 연구를 해야 하느라 바쁩니다.{nl}용건이 있다면 간단하게 말씀해주십시오.				섀도우맨서 마스터	
QUEST_20171128_006697	Je vois. J'ai bien une idée de ce qui pourrait causer des ombres comme celles-là.{nl}Malheureusement, j'ai été bien trop occupée par mes recherches pour faire autre chose.{nl}	그렇군요. 그 현상이라면 원인이 뭔지 알고 있습니다.{nl}하지만 아까도 말씀드렸다시피 저는 지금 제 연구를 해야 하느라 바쁜 몸입니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006698	J'ai bien quelque chose à vous proposer. Si vous suivez, vous pourriez apprendre quelque chose{nl}sur ce phénomène que vous avez vécu. 	그러니 제안을 하나 드리겠습니다.{nl} 이 제안대로 일을 해주시면 그 현상의 원인도 함께 알 수 있습니다. 				섀도우맨서 마스터	
QUEST_20171128_006699	Je m'intéresse à l'observation des éclipses solaires et lunaires et à l'analyse de leurs effets,{nl}voyez-vous. J'ai installé une série d'appareils en différents lieux afin de les étudier.{nl}	전 이 세상에 일어나는 일식과 월식을 관찰하고 그것이 어떤 영향을 주는지 관심이 많습니다.{nl}그와 관련해 연구를 위해 이곳저곳에 제 연구 장치를 설치했습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006700	Mes appareils doivent être vérifiés régulièrement, et c'est maintenant le moment de le faire. Ce{nl}que vous devrez faire, c'est récupérer les appareils, puis collecter des traces auprès des ombres{nl}proches.{nl}	그 연구 장치는 주기적으로 확인이 필요한데, 마침 지금이 그때입니다.{nl}당신이 할 일은 네 개의 지역에 설치된 연구 장치를 회수하고, 주변 그림자에서 흔적을 채취하는 겁니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006701	Les traces d'ombre peuvent être collectées auprès des ombres matérialisées, comme celles que{nl}vous avez vues. Tout comme différents monstres se développent dans différents{nl}environnements, les ombres ont aussi un aspect différent d'une région à l'autre.{nl}	그림자의 흔적은 이전에 당신이 봤던 그런 실체화된 그림자에서 얻을 수 있습니다.{nl}지역마다 몬스터나 환경이 다르듯, 그림자 또한 지역마다 다른 양상을 보입니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006702	Pour obtenir les traces d'ombre, vous devez comprendre les caractéristiques des ombres de{nl}chaque région. De cette façon, vous pouvez en apprendre davantage sur les ombres{nl}elles-mêmes, et sur le phénomène que vous avez vu.{nl}	당신이 그림자의 흔적을 얻기 위해선 각 지역의 그림자의 특성을 이해할 필요가 있습니다.{nl}이 일을 다 마치면 그림자에 대해서, 그리고 이전의 현상에 대한 원인도 알 수 있습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006703	Vous devez veiller à ne laisser aucun appareil ni aucune trace s'influencer mutuellement. Après{nl}avoir récupéré un ensemble de traces, attendez un peu avant de passer à l'appareil suivant.	장치와 흔적을 회수할 때, 그것들의 영향이 다른 장치나 흔적을 회수하는 일에 영향을 줘선 안 됩니다.{nl}그러므로 장치와 흔적을 회수했다면 잠시 후에 다른 장치와 흔적을 회수해주십시오.{nl}				섀도우맨서 마스터	
QUEST_20171128_006704	Si vous avez des questions sur les caractéristiques des ombres de chaque région, demandez. Je{nl}ferai de mon mieux pour répondre.	각 지역의 그림자의 특징에 대해선 잘 모르실 테니 그에 대해선 제게 물어봐주십시오.{nl}잘 알려드리겠습니다.				섀도우맨서 마스터	
QUEST_20171128_006705	Vous avez fait bien mieux que je ne l'espérais, je dois dire. Bien joué. Vous pouvez me remettre{nl}cela. Je dois vérifier les résultats.{nl}	생각했던 것보다 일을 잘 해내셨군요. 가져오신 장치들과 흔적들을 이리 주십시오.{nl}어떠한 결과가 나왔는지 확인해봐야 하니까요.{nl}				섀도우맨서 마스터	
QUEST_20171128_006706	Hm... Les résultats sont différents à l'un des endroits. Je vais devoir enquêter davantage.{nl}	음. 한 지역이 다른 지역들과 달리 이질적인 내용이 보이는군요.{nl}이 내용에 대해선 좀 더 확인을 해봐야겠습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006707	Merci de vos efforts. Oh, et vous avez trouvé la cause du phénomène que j'allais vous enseigner.{nl}Ce que vous avez vu étaient des ombres qui ont reçu l'influence des appareils que vous avez{nl}apportés pour se matérialiser.	장치와 흔적들을 모으느라 고생하셨습니다. 아, 가르쳐주기로 했던 현상의 원인이 무엇인지 알아채셨습니까.{nl}그때 보셨던 그 그림자는 당신이 가져온 이 연구 장치의 영향을 받아 실체화된 그림자입니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006708	Je crois vraiment que vous êtes apte à manier la magie des ombres. Si jamais vous souhaitez{nl}devenir Ombremancien, je serai ici à poursuivre mes recherches.	이렇게까지 일을 해내신 걸 보니 그림자를 다루는데에 적성이 있으신 것 같군요.{nl}전 당분간 여기서 연구하고 있을테니 섀도우맨서에 대해 생각이 있다면 찾아와주십시오.				섀도우맨서 마스터	
QUEST_20171128_006709	Cela disparaît quand vous essayez de le toucher. Qu'est-ce que c'est... ? Le Maître{nl}Chronomancien doit savoir quelque chose, allons à la Route de la stèle et demandons-lui.	만져보려고 했으나 사라져버렸다. 대체 뭘까..?{nl}크로노맨서 마스터라면 이 현상에 대해 알 것 같으니 비석로로 가보자.				None	
QUEST_20171128_006710	Vous vous interrogez sur les ombres et sur leurs différences d'une région à l'autre ? Très bien,{nl}que voulez-vous savoir ?	각 지역의 그림자에 대해 궁금하신 점이 있나 보군요.{nl}말씀해주세요.				섀도우맨서 마스터	
QUEST_20171128_006711	Les appareils de la Forêt de Khonot sont au sud de Carrefour de Valle.{nl}	코노트 숲에 설치한 장치는 발레 교차로 아래에 있습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006712	Les ombres de la Forêt de Khonot sont sensibles à la présence des humains, et elles s'enfuiront si{nl}vous essayez de les approcher. Pour les contacter, vous devez devenir vous-même une ombre.{nl}	코노트 숲에 있는 그림자들은 인기척을 잘 느껴서 사람이 다가가면 도망갑니다.{nl}그렇기에 인기척을 없애기 위해선 당신이 직접 그림자가 되어 그림자에게 다가가야 합니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006713	J'ai laissé un appareil de transformation près de l'appareil de recherche pour que les futurs{nl}élèves puissent l'utiliser à mon tour. Les appareils de transformation permettent de se{nl}transformer temporairement en ombre afin d'approcher d'autres ombres.	장치 주변에 그림자에 익숙하지 못한 제자들을 위해 만들어둔 그림자 변신 장치가 있으니 그걸 이용하십시오.{nl}그 장치를 통해 잠깐 그림자로 변신할 수 있습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006714	Une fois transformé en ombre, approchez-vous d'eux et capturez-les. Cela produira des traces{nl}d'ombre.	그림자로 변신했다면, 주변의 그림자들에게 다가가 그림자를 잡으세요.{nl}그렇게 계속해서 그림자를 잡다 보면 그림자의 흔적을 얻을 수 있을 겁니다.				섀도우맨서 마스터	
QUEST_20171128_006715	L'appareil de la Forêt de Lhadar est sur la colline entre Refuge de Tjibes et Refuge de Bethez. Les{nl}ombres là-bas ne sont généralement pas visibles de près.	라다르 숲에 설치한 장치는 티베스 공터와 베스즈 쉼터 사이의 언덕에 있습니다.{nl}라다르 숲에 있는 그림자들은 우선 겉으로 볼 때 잘 보이지 않습니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006716	Parfois vous verrez l'appareil luire d'une lumière bleue. Si vous activez l'appareil à ce{nl}moment-là, toutes les ombres de la région apparaîtront très clairement.	다만, 불규칙한 특정 시간에 장치 주변에 푸른 기운이 보일 겁니다.{nl}그때 장치를 건드리면 그 지역의 그림자가 뚜렷하게 보일 겁니다.{nl}				섀도우맨서 마스터	
QUEST_20171128_006717	L'influence que reçoivent ces ombres joue un rôle bien plus grand dans leur apparence que dans{nl}les autres régions. Si vous voyez une ombre, vous devriez continuer à chercher des ombres de la{nl}même influence.	그리고 그림자가 받는 영향들이 어떻게 나타나는지 다른 지역보다 뚜렷하게 보입니다.{nl}그림자가 보인다면 같은 영향을 받는 그림자만을 노려서 영향력을 키우세요.{nl}				섀도우맨서 마스터	
